                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9886,                 4.8105,                 1.7034,                 0.0016,                0.33657,                0.08961,                0.03299,                 1.8643,                 5.7417,                 1.6646,             0.00054872,             0.00054872,             0.00054872
                      2,                 1.7701,                 3.1761,                 1.4929,                0.61804,                0.37201,                0.45404,                0.23647,                 1.8417,                 4.2887,                 1.6558,              0.0010315,              0.0010315,              0.0010315
                      3,                 1.7439,                 2.9078,                 1.4496,                0.43493,                0.47426,                0.44895,                0.22836,                 1.8436,                 3.3776,                 1.6929,              0.0014409,              0.0014409,              0.0014409
                      4,                 1.8056,                 3.2799,                 1.4752,                 0.8662,                0.34026,                0.43528,                0.21823,                 1.8942,                 3.0662,                 1.6147,              0.0013369,              0.0013369,              0.0013369
                      5,                 1.6934,                  2.677,                 1.4236,                0.56352,                0.46092,                0.51146,                0.29819,                 1.5839,                  2.264,                 1.4227,              0.0012269,              0.0012269,              0.0012269
                      6,                 1.6616,                 2.2508,                 1.4362,                 0.5579,                0.48679,                0.51754,                0.29131,                 1.6575,                 2.1108,                 1.4278,              0.0011169,              0.0011169,              0.0011169
                      7,                 1.6118,                 1.9675,                 1.4223,                0.52109,                0.56144,                0.55615,                0.32035,                 1.6037,                 1.9144,                  1.401,              0.0010069,              0.0010069,              0.0010069
                      8,                 1.5324,                 1.9315,                 1.3491,                 0.5411,                0.65509,                0.63505,                0.35933,                 1.5064,                 1.6487,                 1.3301,             0.00089685,             0.00089685,             0.00089685
                      9,                 1.4563,                 1.5982,                  1.287,                0.62449,                  0.637,                 0.6537,                0.37914,                 1.5456,                 1.5955,                  1.321,             0.00078682,             0.00078682,             0.00078682
                     10,                 1.4358,                 1.4333,                 1.2657,                0.57027,                0.68696,                0.62636,                0.36856,                 1.5646,                 1.4498,                 1.3395,              0.0006768,              0.0006768,              0.0006768
                     11,                 1.3986,                  1.564,                 1.2472,                0.64391,                0.66317,                0.67454,                0.38509,                 1.5118,                 1.4938,                 1.3146,             0.00056678,             0.00056678,             0.00056678
                     12,                  1.324,                 1.4486,                 1.2357,                0.62704,                0.66323,                0.67634,                 0.3902,                 1.4551,                 1.3809,                 1.2847,             0.00045676,             0.00045676,             0.00045676
                     13,                 1.3631,                 1.3951,                 1.2431,                0.67855,                0.65459,                0.71259,                0.42257,                  1.415,                 1.2573,                 1.2497,             0.00034674,             0.00034674,             0.00034674
                     14,                 1.3242,                 1.2422,                 1.2407,                0.61896,                 0.7247,                0.71576,                0.41812,                 1.4307,                 1.2456,                 1.2717,             0.00023671,             0.00023671,             0.00023671
                     15,                 1.2758,                 1.2347,                 1.1635,                0.66457,                0.70356,                0.74013,                0.43307,                 1.4086,                 1.2269,                 1.2373,             0.00012669,             0.00012669,             0.00012669
